id,text
v3_200,"Madam Speaker, Charlie Burrell is a powerful example of how one person can make a real difference in their community. In Little River, he has dedicated his time and energy to building a facility and small homes for people experiencing homelessness — people who are often overlooked and forgotten. He saw his friends, as he always calls them, homeless on the streets of Moncton, and instead of turning away he chose to step up.

He provides necessities like food and clothing, but more importantly he offers dignity and hope. He reminds us that homelessness is not just an issue but a human experience, and that everyone deserves kindness and opportunity. His efforts bring the community together and pull other people in with him.

Change starts with one person choosing to care.

The last time I was out there, one of the little homes had a doorbell on it. A real doorbell, wired in. Somebody had put it there so people would knock. Thank you, Charlie. You care so much."
v3_201,"As New Brunswickers gather around their Christmas trees this year, they'll be exchanging more than just presents. They'll be swapping stories about how the Holt government has turned its promises into mere ornaments — sparkly, shiny, and completely hollow. First, there was the balanced budget promise, the one we were told would be delivered with fanfare and a drumroll. The member opposite stood in this House and said the books were ""on track"". On track. Instead, what do we have? A deficit under the tree. It's not even the gift that keeps on giving. It's the gift that keeps on taking. Then, there's the carbon tax adjustor, a promise so simple it could have been done with the stroke of a pen. Instead, it's still there, adding to the prices of everything we buy every day. That's not the Christmas cheer we were hoping for. New Brunswickers have been promised a lot of things. This government needs to realize that promises aren't just for the Christmas season. They're for the whole year. It's time they deliver."
v3_202,"Madam Speaker, last September our government launched a universal breakfast program in all New Brunswick schools. It works. Close to a year later we are already seeing concrete results, with students in every corner of the province starting the day on a nutritious meal of milk, eggs, bagels, apples, and cheese. Through our partnership with FeedNB, schools can offer healthy food that is often grown right here, on our own farms and in our own businesses. For many families, with the cost of living rising the way it has, this program makes a real difference. It saves them money. It saves them time. The morning is less of a fight. And students arrive in class prepared to learn, able to concentrate, and willing to take part in the lesson instead of watching the clock until lunch. That matters. Every child deserves to start their day on the right foot, Madam Speaker. Thank you."
v3_203,"This bill does not approve anything. It makes things easier. It takes barriers out of the way so that New Brunswick can move when the time comes, and it says plainly what has to happen first. We drafted it with several departments at the table: the Office of the Attorney General, Service New Brunswick, the Department of Post-Secondary Education, Training and Labour, and the Department of Indigenous Affairs. The NB Power Board of Directors will continue to oversee all security measures, so the board, and not this Chamber, answers for the money and for the risk. What comes out of that work becomes the basis of the proposal that goes to government for approval, and government reviews it before it authorizes anything at all. Madam Speaker, the Mactaquac Life Achievement Project is a bold and necessary investment in our energy future. This bill makes sure we are ready when the challenges land, with room to move and a clear path to follow. I urge all members of the House to support the bill and help us take the next step toward securing clean energy for New Brunswickers, today and for decades to come. Thank you, Madam Speaker."
v3_204,"Madam Speaker, I rise today to recognize the enduring significance of the Battle of Vimy Ridge, fought on April 9, 1917, one of the defining moments in Canada's history. I am no military historian, and I could not tell you much about how the ridge was taken. But I know what the date means. Since 2006, the Vimy Foundation has been dedicated to raising awareness and educating Canadians about the battle, and this year's campaign marks the beginning of the lead-up to the 110th anniversary of the battle in 2027. So as we approach Vimy Week, from April 2 to 9, I encourage all members of this House to wear the Vimy Pin. It is composed of four distinct colours, and I had to be told this last year — one colour for each of the four Canadian divisions that fought together for the first time at Vimy Ridge, standing for their unity and their sacrifice. By wearing it, we honour their courage, their sacrifice, and the legacy they left behind, a legacy that helped define our nation. Thank you, Madam Speaker."
v3_205,"Property owners pay the cost of assessment fee on the property tax bill, which is through Finance and Treasury Board. But they also pay charges through their local tax rates. So the same property owner is paying twice: directly, through the Finance and Treasury Board cost of assessment fee on the tax bill, and indirectly, through the municipal taxes that the municipality uses to pay Service New Brunswick for assessment services.

Madam Speaker, I'll be honest — I did not understand this myself until I went looking, and I am not an accountant. Most New Brunswickers don't know it either. They assume the visible charge on the bill is the whole assessment cost. They don't realize municipalities are paying Service New Brunswick as well.

I want to be absolutely clear about something. This motion does not criticize the work performed by Service New Brunswick. Assessment services are necessary. Municipalities require accurate assessments. The assessment system matters, and Service New Brunswick provides an actual service to municipalities and rural districts. But Finance and Treasury Board is not providing assessment services. Finance and Treasury Board is charging the cost of assessment fee directly through property tax bills. That is the charge this motion seeks to eliminate, and after years of rising assessments and rising costs, I would argue the time has come to do it.

People increasingly feel that the government financially benefits from circumstances ordinary citizens cannot control. No homeowner asked for property values to surge. No senior on a fixed income asked to have her modest home reassessed at a dramatically higher value, and we all know — we all know — that assessments have gone up in recent years. As I mentioned previously, with COVID-19 and people moving to New Brunswick, home prices went up. Fair market value is a big factor in the assessment process, and that's why the increase was what it was. I don't know where it stops. Every time those assessments rise, government revenue from this fee rises too. That creates a very troubling perception: that government benefits financially from the same assessment increases that cause property owners stress and anxiety."
v3_206,"Bill 40, An Act to Amend the Health Quality and Patient Safety Act, proposes significant amendments to legislation that already establishes a framework for reviewing and learning from patient safety incidents. The minister told this House that the amendments will improve how health care incidents are reviewed, ""strengthen collaboration"", enhance consistency, and improve transparency for patients and families. Those are worthy objectives, and no reasonable person would oppose a system that learns better and communicates better. Yet legislation is not judged by its intentions. It is judged by its consequences. Before we create new structures or grant new powers, we must ask what specific problem the bill is trying to address. The existing Act already provides a framework for patient safety reviews, so what has failed? Are incident reviews not occurring? Are lessons not being shared? Are patients not being informed? Are health authorities ignoring recommendations? I raised these at the briefing on the bill, and the answer I got back was that the changes would bring ""consistency"". Consistency with what? Legislative changes should follow demonstrated gaps, and the government has not presented clear data showing a systemic failure under the current law. Without that, we risk legislating in search of a problem. Diagnosis before treatment. The bill also creates the New Brunswick Quality of Care and Patient Safety Advisory Committee, established and maintained by the minister. On paper this sounds reasonable. Who could oppose expert advice on patient safety? Here is where prudence requires us to slow down. Health care professionals in this province already operate within Horizon Health Network, Vitalité Health Network, the professional regulatory colleges, accreditation bodies, internal quality review committees, and patient advocacy offices. Are we improving outcomes or adding bureaucracy? Front-line workers are already telling us they spend more of their time filling out forms instead of caring for patients. If this committee becomes another reporting layer without measurable improvement, we will have worsened the very system we set out to help."
v3_207,"Property owners pay the cost of assessment fee on the property tax bill, and that fee goes to Finance and Treasury Board. Property owners also pay charges through their local tax rates. The same property owner is paying both directly and indirectly: first, the Finance and Treasury Board cost of assessment fee on the property tax bill; second, the municipal taxes used to pay Service New Brunswick for assessment services.

Madam Speaker, many New Brunswickers do not know this. They assume that the visible charge on their tax bill is the entirety of the assessment cost. They do not realize that municipalities also pay Service New Brunswick.

The member opposite said a few minutes ago that Motion 42 is ""an attack on Service New Brunswick."" Those were the words. I wrote them down. It is not an attack, and I want to be absolutely clear about that: this motion does not criticize the work performed by Service New Brunswick. Assessment services are necessary, and municipalities require accurate assessments. The assessment system itself is important, and Service New Brunswick provides an actual service to municipalities and rural districts.

Finance and Treasury Board is not providing assessment services. Finance and Treasury Board is simply charging the cost of assessment fee directly through property tax bills. That line on the bill — ""cost of assessment"" — is the charge this motion seeks to eliminate, and after years of rising assessments and rising costs, I would argue that the time has come to do this.

People increasingly feel that the government financially benefits from circumstances ordinary citizens cannot control. No homeowner asked for property values to surge. No senior on a fixed income requested that their modest home be reassessed at a dramatically higher value, and we all know — we all know — that assessments have gone up in recent years. As I mentioned previously, with COVID-19 and people moving to New Brunswick, home prices have gone up. Fair market value is a big factor in the assessment process, and that's why there was such an increase. Every time those assessments rise, government revenue from this fee rises as well. That creates a very troubling perception: that government financially benefits from the same assessment increases that cause property owners stress and anxiety."
v3_208,"Mr. Speaker, Margaret Augustine and Lauren Beck of L'nui Menikuk have written Mitji— Let's Eat!: Mi'kmaq Recipes from Sikniktuk. Indian Island First Nation. The recipes carry the historical knowledge and the lived experience of a community that has thrived on these lands for generations, and the book stands as a testament to the rich heritage and the resilient spirit of the people of Mi'gma'gi. It also takes on gastrocolonialism, and it does not tiptoe around it: colonial policies altered traditional Indigenous recipes, and the profound impacts of that are set out plainly. This is not just a cookbook. Mr. Speaker, I invite all members to join me in congratulating Margaret Augustine and Lauren Beck for their commitment to preserving Indigenous culinary traditions."
v3_209,"Madam Speaker, this bill does not approve anything. It makes things easier. It removes barriers so that New Brunswick can move forward when the time comes, and it makes plain what will be needed. Officials from four departments worked on the draft with us: the Office of the Attorney General, Service New Brunswick, the Department of Post-Secondary Education, Training and Labour, and the Department of Indigenous Affairs. The NB Power Board of Directors keeps oversight of every security measure. That board answers for the money and for the risk. Cabinet will not authorize anything until it has reviewed the information the proposal rests on, and that same information is what the proposal is built from. Madam Speaker, the Mactaquac Life Achievement Project is a bold and necessary investment in our energy future, and this bill is what lets us meet the challenges of it with the flexibility, clarity, and confidence we will need. I am asking every member of this House to support it so we can take the next step toward securing clean energy for New Brunswickers, today and for decades to come. Thank you, Madam Speaker."
