id,text
ga000,"Mr. Speaker, let me say off the top that I will be splitting my time with a great new member, the hon. member for Terra Nova—The Peninsulas. Since this is my first time speaking for a substantive length of time since the election, please allow me to thank the hard-working, industrious people of Flamborough—Glanbrook—Brant North for the honour of being their voice and their servant and for carrying their hopes and dreams to this place. While I have lived and worked in other places in North America in my career, I have always felt and known that the communities of Flamborough—Glanbrook—Brant North are my true home, and home is where the heart is. It is the honour of my lifetime to serve these great communities. I want to thank my campaign team, including Simon, Mona, Jordan, Wendy, Jim and hundreds of volunteers. Above all, I thank my wife, Tracy, without whose love and support I certainly would not be here today. I will now go to the matter at hand. Canadians are struggling, not because we lack talent and not because we lack resources, but because we are too often being held back by red tape, gatekeeping and a government that over-promises and under-delivers. Nowhere is that clearer than when it comes to getting big projects built or trying to move goods and services and workers across provincial lines in our own country. These barriers do not cost us only time and money. They cost us opportunities, they cost us investments and they cost us jobs. That is why Bill C-5, an act to enact the free trade and labour mobility in Canada act and the building Canada act, is such a missed opportunity. It claims to deliver free trade and fast-tracked projects. What it would actually deliver is bureaucratic theatre, and a showpiece of announcements without the substance to back them up."
ga001,"This arose from a court ruling, a ruling of the Ontario Superior Court of Justice. People do not really know this, but the Ontario Superior Court of Justice is a lower court. It is not the Supreme Court of Canada, as one of my colleagues on the other side said this morning. It was appealable. It was not a great decision, because this is already dealt with. Although it is not a law, the Minister of Citizenship and Immigration, and one of my colleagues on this side said that this is how it is dealt with currently, can actually deal with these lost Canadians very easily with her current power. She knows that. Immigration, Refugees and Citizenship Canada, or IRCC, knows that, but the department will not admit it. That is the problem here. The government is doing something here, but it already has tools to address it, and it is widening the whole approach to this to make sure we are doing something. Most Canadians would say, “What are you doing, and why are you doing it?” Bill C-3, an act to amend the Citizenship Act, effectively says that we are opening the door here, for all intents and purposes, for the foreseeable future and confusing everybody, causing some problems that we are going to have to address one way or another. Canadian citizenship is not just a passport. It is a privilege, a responsibility and a bond to this country. Bill C-3 would weaken that bond. It would allow people with minimal ties to Canada to claim the same rights and benefits as those who have lived, worked and contributed here."
ga002,"Madam Speaker, I rise at second reading of the budget implementation bill on behalf of the people of Brandon—Souris. While the Liberal government continues to rack up debt and deficits, cost of living pressures mount. There are higher taxes, higher inflation and a rising burden on ordinary Canadians. At the same time, we see record food bank growth, including in my constituency at the Samaritan House Ministries food bank in downtown Brandon. This is a rising burden on ordinary Canadians that is resulting in families skipping meals and seniors being forced to choose between heating their homes or putting fuel in their cars. That is not governmental success. It is a systemic failure on a grand scale that is forcing more and more Canadians to be reliant on government handouts just to get by. The Liberal answer is more government programs, more spending and more planning, increasing the money supply, raising debt and calling it investment. This does not change the reality that every dollar collected from Canadians is being poured into interest payments and debt service rather than helping Canadian families make ends meet. When officials appeared at the finance committee last week, not one of them could tell us what the debt service line will be in three years. I find it ironic that after a decade of lecturing Canadians, the Liberals have finally admitted what Conservatives have said from the very beginning. The carbon tax was a costly, punishing failure, and the mental gymnastics that these Liberals now go through, after 10 years of flogging how the carbon tax was going to save the planet and then proudly putting forward a bill that cancelled it, are nothing short of hypocritical. For years they mocked and demonized anyone who questioned their tax-and-spend climate scheme, and they told families in southwestern Manitoba that paying more to heat their homes, drive their trucks and buy their groceries was somehow good for them in the long run. Now 10 years later, in the middle of an affordability crisis that they helped create, the Liberals are desperately trying to walk back the very policy that they flogged and pushed for countless years."
ga003,"While the Liberal government continues to rack up debt and deficits, cost of living pressures mount. There are higher taxes, higher inflation and a rising burden on ordinary Canadians. At the same time, we see record food bank growth, including in my constituency at the Samaritan House Ministries food bank in downtown Brandon. This is a rising burden on ordinary Canadians that is resulting in families skipping meals and seniors being forced to choose between heating their homes or putting fuel in their cars. That is not governmental success. It is a systemic failure on a grand scale that is forcing more and more Canadians to be reliant on government handouts just to get by. The Liberal answer is more government programs, more spending and more planning, increasing the money supply, raising debt and calling it investment. That does not change the reality that every dollar collected from Canadians is being poured into interest payments and debt service rather than helping Canadian families make ends meet. I find it ironic that after a decade of lecturing Canadians, the Liberals have finally admitted what Conservatives have said from the very beginning. The carbon tax was a costly, punishing failure, and the mental gymnastics that these Liberals now go through, after 10 years of flogging how the carbon tax was going to save the planet and then proudly putting forward a bill that cancelled it, are nothing short of hypocritical. For years they mocked and demonized anyone who questioned their tax-and-spend climate scheme, and they told families in southwestern Manitoba that paying more to heat their homes, drive their trucks and buy their groceries was somehow good for them in the long run. Now 10 years later, in the middle of an affordability crisis that they helped create, the Liberals are desperately trying to walk back the very policy that they flogged and pushed for countless years."
ga004,"Mr. Speaker, while the Liberal government continues to rack up debt and deficits, cost of living pressures mount. There are higher taxes, higher inflation and a rising burden on ordinary Canadians. At the same time, we see record food bank growth, including in my constituency at the Samaritan House Ministries food bank in downtown Brandon. This is a rising burden on ordinary Canadians that is resulting in families skipping meals and seniors being forced to choose between heating their homes or putting fuel in their cars. That is not governmental success. It is a systemic failure on a grand scale that is forcing more and more Canadians to be reliant on government handouts just to get by. The Liberal answer is more government programs, more spending and more planning, increasing the money supply, raising debt and calling it investment. That does not change the reality that every dollar collected from Canadians is being poured into interest payments and debt service rather than helping Canadian families make ends meet. I find it ironic that after a decade of lecturing Canadians, the Liberals have finally admitted what Conservatives have said from the very beginning. The carbon tax was a costly, punishing failure, and the mental gymnastics that these Liberals now go through, after 10 years of flogging how the carbon tax was going to save the planet and then proudly putting forward a bill that cancelled it, are nothing short of hypocritical. For years they mocked and demonized anyone who questioned their tax-and-spend climate scheme, and they told families in southwestern Manitoba that paying more to heat their homes, drive their trucks and buy their groceries was somehow good for them in the long run. Now 10 years later, in the middle of an affordability crisis that they helped create, the Liberals are desperately trying to walk back the very policy that they flogged and pushed for countless years."
ga005,"Madam Speaker, I rise on the motion before the House today, and I will be splitting my time. If we are talking about common sense, one of the things the Liberal government has forgotten is the Canadian winter. I am from the Prairies, and I can assure the House that winter is not just a season. It is a test of endurance. We might get March break, but it is a long season. It is endurance when we have -20°C days on a regular basis, -30°C for weeks at a time, and wind chills that blow snow across every single street and road. In these conditions, electric vehicles do not perform the way that they were advertised to, that they were supposed to. The battery range plummets, charging takes longer, running the heater or the defroster drains the power, and suddenly the EV becomes a liability when someone gets stuck in the middle of a gravel road on a dark, windy, storm-filled night.

Forgive me if I am a little skeptical when the government that is unable to introduce a budget tells me it has figured out this whole plan, this infrastructure plan and this EV mandate plan. It cannot even plant trees right. Do members remember the two billion trees the government was supposed to plant? It cannot even do that right, never mind get a network of EV chargers across this country. I asked the parliamentary secretary about the charging network when this was last before us, and I did not get an answer then either.

I believe in innovation. I believe in technology. I believe in smart environmental policy. However, I also believe in freedom, something the Liberal government seems to have forgotten. I also believe in common sense, something the Liberal government has yet to come close to mastering. If EVs are the future, which they may be, they should not need government mandates to succeed. They should win on the open market by competing on cost and competing on performance and reliability. I would ask that the mandate be studied properly at committee before another deadline is set."
ga006,"Madam Speaker, I rise at second reading of Bill C-19, and I will say at the outset that Conservatives will support it, because families need help right now. We will let the bill before us pass, because every dollar matters when families are choosing between groceries and other essentials. Before this goes to the Standing Committee on Finance, though, let us be honest about what it is. It is a band-aid solution that barely covers a few trips to the grocery store. This is a recycled Trudeau-era policy that would provide temporary relief without addressing the fundamental problem of driving grocery costs through the roof.

I have heard my colleague from Winnipeg North from across the way say that the Prime Minister is focused. He will keep saying that, and he will repeat it, but the Prime Minister is looking at life through a straw. He needs to take the straw away, open up his eyes and see the problems. The Liberals need to take the focus off trying to make themselves look good and focus on the root issues, the root problems that we are facing and that every household in Canada is facing.

We are supporting families in this crisis, but we refuse to pretend that the bill would fix anything. While the government offers handouts with one hand, its policies continue to drive up costs with the other. If it wants to be transparent, then disclose all the taxes that go into something. I remember doing that as the mayor of my city of Moose Jaw. In their tax roll, we showed everyone where their taxes were going. I raised that when the estimates were before committee in the fall, and I intend to raise it again at clause-by-clause on this bill. Our constituents should understand where their taxes go when they are going to the grocery store, and they should understand the costs that are being driven up by the Liberal government."
ga007,"Mr. Speaker, according to the government's own announcements, something in the order of $220 million in federal funding went to Stellantis before it announced it was shifting production to the United States. At Algoma Steel, the Liberals approved, I believe, about $400 million in loans, even though they knew the company's business plan included major layoffs. They are literally subsidizing the loss of Canadian jobs. Folks who work in the auto industry, including those at Honda in my community of Alliston, know their livelihoods could be next, because if the government will not fight for workers in Brampton, Windsor, Oshawa or the Soo, it will not fight for them either. If the Liberals' failure to stand up to the United States was not bad enough, an equally serious and entirely self-inflicted threat to the Canadian auto industry comes from their own policies. Their obsessive push for an EV mandate has created uncertainty across the sector. For years, they have warned manufacturers and consumers that gas-powered vehicles would be banned, only to delay its implementation and repeatedly review and assess it. It has been delayed again, and there is still no clarity on what comes next. How can an industry that plans years in advance function when the Liberal government cannot provide even the most basic certainty? Automakers are finalizing their 2028 models today, and they are still guessing at what they will be able to manufacture under this shifting mandate. This has nothing to do with Donald Trump or the United States. The uncertainty choking the Canadian auto industry is made in Ottawa by the Liberals. They boast about supporting pipelines while key ministers work behind the scenes to stop them from ever being built. They scrapped the consumer carbon tax only to impose a harsher industrial version that lands squarely on manufacturers. With the shifting EV mandate, the same pattern repeats. There is big rhetoric about confronting Trump and strengthening the auto sector, even as they cripple the industry with policies that undermine its ability to survive. Auto workers deserve good, stable, paying jobs in a competitive climate that attracts investment."
ga008,"While the Liberal government continues to rack up debt and deficits, cost of living pressures mount. There are higher taxes, higher inflation and a rising burden on ordinary Canadians. At the same time, we see record food bank growth, including in my constituency at the Samaritan House Ministries food bank in downtown Brandon. This is a rising burden on ordinary Canadians that is resulting in families skipping meals and seniors being forced to choose between heating their homes or putting fuel in their cars. That is not governmental success. It is a systemic failure on a grand scale, and it is forcing more and more Canadians to be reliant on government handouts just to get by. The Liberal answer is more government programs, more spending and more planning, increasing the money supply, raising debt and calling it investment. This does not change the reality that every dollar collected from Canadians is being poured into interest payments and debt service rather than helping Canadian families make ends meet. I find it ironic that after a decade of lecturing Canadians, the Liberals have finally admitted what Conservatives have said from the very beginning. The carbon tax was a costly, punishing failure, and the mental gymnastics that these Liberals now go through, after 10 years of flogging how the carbon tax was going to save the planet and then proudly putting forward a bill that cancelled it, are nothing short of hypocritical. For years they mocked and demonized anyone who questioned their tax-and-spend climate scheme, and they told families in southwestern Manitoba that paying more to heat their homes, drive their trucks and buy their groceries was somehow good for them in the long run. Now 10 years later, in the middle of an affordability crisis that they helped create, the Liberals are desperately trying to walk back the very policy that they flogged and pushed for countless years."
ga009,"Mr. Speaker, under the Liberal government, there is a two-tier tax code for Canadians. There is one for the rich Liberal friends of the Prime Minister and another for everyone else. Worse yet, in this costly Liberal budget, the Liberal Prime Minister gave himself and his buddies a tax break on the purchase of luxury yachts and private jets, while voting against scrapping taxes on food and groceries. The Liberal Prime Minister helped design a tax system he did not have to live under, because he was living outside of it. While Brookfield was safely storing profits in Bermuda, small charities and family businesses faced the full force of the Liberal tax-collecting agency. On top of egregious tax avoidance, the Liberal Prime Minister's conflict of interest cover-up is even worse. Brookfield's chief operating officer confirmed this month that 95% of its companies are not covered by the so-called ethics screen. That means 1,900 companies stand to benefit from government decisions that will enrich the Prime Minister personally at the expense of taxpayers, and Canadians will be kept in the dark about how those companies are involved. The Liberal Prime Minister is even taking private meetings with Brookfield executives at the Prime Minister's Office and while he travels overseas. With ethics like this, how can Canadians trust him? He is starting to look a lot like the last Liberal prime minister, just more costly. Canadians deserve a prime minister whose loyalty is to the public, not to his private portfolio or the shareholders of Brookfield. Canadians feel betrayed, and they are asking whether we continue down the path of manipulated budgets, rising debt, shrinking paycheques and declining prosperity, or whether we rebuild a country where the numbers are honest, the budgets are responsible, and hard work leads to an affordable home, opportunity and security. The screen the Prime Minister points to covers 5% of those companies. The other 1,900 are not listed anywhere a Canadian can go and look, and nobody on that side has offered to list them."
