id,text
v3_000,"Thank you, Madam Speaker. The holidays are nearly here and the main streets are lit up, so I rise to talk about our local businesses.

Small businesses are the heartbeat of New Brunswick's economy. I mean the cafe on the corner, the two restaurants where neighbours end up on a Friday, the boutiques and artisans who give our downtowns their character, the hardware store a family has run through three generations, and the producer out in the county who keeps proving world-class quality gets made right here at home. Those owners hire people. They sponsor teams, they buy the ad in the rink, and they build up the economy of this province as surely as any big employer does.

When we shop locally at Christmas, we do more than buy a gift. We put money back into our own communities. For every dollar spent locally, more of that dollar stays right here in New Brunswick. It pays wages. It goes to a supplier down the road. It keeps a regional economy standing. That is what lets a small shop grow and keep serving the people around it.

I was at the Premier's open house yesterday. Plenty of people came through, and the vendors ranged from a soap maker to a woodworker to somebody selling smoked salmon. I spoke to one vendor who started his business at nine years old.

Go to the markets this season. Walk into the neighbourhood shops. Find the artisans and buy the New Brunswick-made thing. Choices big and small make a real difference, and when we shop local we support the people who support us all year. A special thank-you to everyone who was out yesterday and spoke to those vendors."
v3_001,"Madam Speaker, we have launched a new provincial website so that more New Brunswickers know what the arts and culture sector is doing here, take part in it and value it. The address is artsculturenb.ca. It puts up painters, potters, fiddlers, furniture makers, and the woman who does the wreaths at the Saturday market, and it landed just in time for the holidays. A New Brunswicker can use it to find a gift, a concert, a play, a studio open house. That money goes to our creative sector and to the people who make our communities better places to live. Artists and artisans can post their own events and their own work on the site themselves. Go to artsculturenb.ca and see what people in this province are making. Shop local this month. Buy from someone who lives here. Thank you, Madam Speaker."
v3_002,"Madam Speaker, as New Brunswickers gather around their Christmas trees this year, they will be exchanging more than just presents. They will be swapping stories about how the Holt government has turned its promises into mere ornaments: sparkly, shiny and completely hollow. First there was the balanced budget promise, the one we were told would be delivered with fanfare and a drumroll. I am not an accountant, and I will not pretend I can follow every line of a fiscal update. But I can read the bottom of the page. Instead of a balanced budget, what do we have? A deficit under the tree. It is not even the gift that keeps on giving. It is the gift that keeps on taking. Then there is the carbon tax adjustor. I do not know what is holding it up. Nobody has told me. It is a promise so simple it could have been done with the stroke of a pen. Instead it is still there, adding to the prices of everything we buy every day, and I checked my own grocery bill on Saturday. That is not the Christmas cheer we were hoping for. New Brunswickers have been promised a lot of things. This government needs to realize that promises are not just for the Christmas season. They are for the whole year. It is time they delivered."
v3_003,"Madam Speaker, last September our government put a universal breakfast program into every school in New Brunswick. I have not been in all of them — I have been in maybe a dozen — but in the ones I have seen, it is working. Milk, eggs, bagels, apples, cheese. FeedNB gets it there, and a good deal of it comes off farms and out of businesses here at home. I don't have the uptake numbers in front of me today, and I should. What I do hear from parents is that it saves them money and saves them the argument at half past seven, and with grocery prices where they are, that is not nothing. A kid who has eaten can concentrate. That is the investment. Every child deserves to start the day on the right foot, Madam Speaker. Thank you."
v3_004,"Mr. Speaker, the minister said in this House on Tuesday that public transportation is ""already covered off"" between his department and the municipalities. I wrote the words down. It is not covered off. The From Surfaces to Services report was tabled in 2017, it said this province needed one coordinated approach to public transportation, and since then nothing meaningful has been done with it. The member opposite is welcome to stand up and name the department that wrote the strategy. No one did.

Give one minister the file and you have somebody who leads it, pays for it, and stands here to answer for how the pieces fit together across New Brunswick.

BE IT THEREFORE RESOLVED that the Legislative Assembly urge the Premier to give the Minister of Transportation and Infrastructure a mandate for public transportation;

BE IT FURTHER RESOLVED that the Legislative Assembly urge the government to allocate the necessary resources and funding to support the New Brunswick Transportation Authority to create and implement a public transportation strategy.

(Debate adjourned.)"
v3_005,"Mr. Speaker, I would like to congratulate two remarkable authors, Margaret Augustine and Lauren Beck of L'nui Menikuk, also known as Indian Island First Nation, on an exceptional cultural contribution. Their recent cookbook is Mitji— Let's Eat!: Mi'kmaq Recipes from Sikniktuk, and it stands as a testament to the rich heritage and the resilient spirit of the people of Mi'gma'gi. This is not just a cookbook. The recipes are enriched with the historical knowledge and the lived experience of a community that has thrived on these lands for generations. Through the work, the authors address the profound impacts of gastrocolonialism, that is, how colonial policies altered traditional Indigenous recipes. I invite all members to join me in congratulating them for their commitment to preserving Indigenous culinary traditions. Margaret Augustine. Lauren Beck. Wela'lin."
v3_006,"Madam Speaker, the eligibility line is 90 days of continuous employment, which is where the other provinces have put it as well. The member opposite said a few minutes ago that the documentation requirement is a hurdle for sick people. I would ask her to read the clause once more. It says ""reasonable medical documentation"" confirming that the employee is unable to work due to illness or injury. Reasonable. An employer may require it. An employer is not obliged to. The other phrase under dispute is ""as soon as possible"": the employee informs the employer of the need for leave as soon as possible, and not by some fixed date, because nobody schedules a diagnosis. Those elements are what support the integrity of the leave and what give an employer reasonable assurance and predictability. This amendment to the Employment Standards Act is an important step forward. It strengthens protections for workers at the point where they are most vulnerable, and it does that without pretending every workplace in this province is the same. No one should have to choose between their health and their job. There is a clear gap in the Act as it stands and this closes it. Thank you very much, Madam Speaker."
v3_007,"Madam Speaker, I want to talk about Charlie Burrell, who shows what one person can do in their community. In Little River, he has put his own time and energy into building a facility and small homes for people experiencing homelessness — people most of us walk past.

I'm not an expert in housing policy or in addiction, and I won't pretend to be. Charlie doesn't have the credentials either. What he has is that he saw his friends, and that is the word he always uses, sleeping on the streets of Moncton, and he did not turn away. He stepped up. He brings food and clothing, and beyond that he offers dignity and hope.

He reminds us that homelessness is not just an issue but a human experience, and that everybody deserves kindness and a chance. Other people see him at it and get involved themselves.

Thank you, Charlie. You care so much."
v3_008,"Thank you, Madam Speaker. Members of the New Brunswick Psychiatric Association are in the gallery today. Welcome. Among them are members of the association's Board of Directors, who have come here on a sitting day, in November, to sit through question period, which tells you something about how seriously they take the work. And the work is essential to supporting the mental health and well-being of New Brunswickers. Their continued collaboration with the Department of Health is strengthening our system of care. I'll say more later today. Thank you. Thank you, Madam Speaker."
v3_009,"Mr. Speaker, labour relations in this province are in bad shape, and that hurts everybody who is trying to build something here. This government's legislative approach has fallen short, and members ought to say so plainly. Going forward, ministers should sit down with workers and their representatives, tell them the truth and treat them decently. Nobody's interests get protected if the people on either side of that table do not trust each other.

Mr. Speaker, in December 2019 this Legislature fought over the essential service legislation, which was aimed squarely at the wages of nursing home workers. That was Bill 17. It imposed conditions on how labour arbitrators could rule on those wages, and it set off an intense reaction. Members of the New Brunswick Council of Nursing Home Unions came out against it. They said it would hurt their ability to strike and their ability to negotiate a fair wage. They were loud about it, and they were loud because they were angry.

The bill passed. Union leaders called it an attack on public-sector labour unions, and they did not soften it. Sharon Teare, President of the New Brunswick Council of Nursing Home Unions, avowed that their voice would not be silenced. She said they would keep fighting for better working conditions and for the rights of nursing home workers, the people who bathe your mother, feed her and sit with her when nobody else can.

Bill 17 showed how much tension there is between this government and the labour unions in New Brunswick, on labour rights and on collective bargaining in particular. It showed how hard it is for a government to hold the interests of workers, the interests of taxpayers and its own books in the same hand.

And when we look back at December 2019 and the passage of Bill 17, we cannot forget who was standing where. There are members of this government today who opposed that bill. They said so out loud. They said they would stand with the labour movement as long as they could. That has changed today."
